"Genes";"GPD.PWM";"GPD.EMV";"BC.LS"
"TGFBR3";3,83615859345591e-07;2,06041713944196e-07;8,53166231256826e-07
"FNBP1L";1,54411967630461e-07;1,33572074634543e-07;2,4428737031149e-07
"ABCA4";3,02434879845824e-07;1,08991151987439e-07;2,02061436191056e-07
"ABCD3";2,97529478342907e-05;2,20880516957597e-05;2,44441630437472e-05
"F3";1,00965428959586e-05;1,3260147741761e-05;9,24977557943011e-06
"SLC44A3";2,10958204288461e-05;2,51912212839429e-05;2,32279280062846e-05
"CNN3";1,74100571930567e-05;1,79271969383998e-05;2,31933516796069e-05
"ALG14";1,05417344556258e-08;2,88587483662006e-09;4,65545968963404e-08
"RP11-147C23.1";1,18788370316468e-05;1,3549508638647e-05;1,46826684044934e-05
"DPYD";3,96639940909168e-06;3,69806105059199e-06;1,00446476534288e-07
"AGL";1,07286195580398e-05;7,28021701023263e-06;1,00938486801167e-05
"OLFM3";1,39105291729891e-13;0;2,4512302345543e-15
"AMY2B";7,40042527228146e-07;1,60222427804741e-06;1,07655224852411e-06
"VAV3";8,4537579754816e-07;9,60132997384912e-07;3,41546042085776e-07
"CSF1";3,06342630603292e-06;2,13874189022763e-06;6,98910040545051e-08
"UBL4B";6,28681237468628e-07;7,07204076609597e-07;4,96195684010195e-07
"KCNC4";2,22734236658126e-05;1,66317277375591e-05;1,112336908161e-05
"RBM15";4,8923393542602e-05;3,92487775809725e-05;3,5206295296954e-05
"SLC16A4";8,17404856759941e-07;4,54601972718613e-07;5,28534265362416e-08
"LAMTOR5";2,75383239692925e-06;1,33875738379827e-06;9,45325332663772e-07
"KCNA3";3,55933574307737e-05;3,77882607997179e-05;2,52145822077677e-05
"CHI3L2";3,69410574348282e-06;3,33514198361573e-06;5,61207399618282e-06
"RAP1A";4,84833697033116e-10;2,86165654173054e-12;2,32745309393335e-12
"FAM212B";3,65342158143322e-09;3,78867059262267e-09;1,17947655146658e-08
"KCND3";3,70635449553625e-11;3,77499193127129e-12;1,92496328312195e-12
"CAPZA1";3,48075940635599e-05;3,5745435429552e-05;4,73096970748614e-05
"RHOC";1,98250176447803e-05;1,47468472165996e-05;1,78037529723576e-05
"PPM1J";7,64350774801041e-06;6,04122137010423e-06;3,93875994495158e-06
"SLC16A1";7,16252845754301e-06;1,16188191855883e-05;1,15018159848496e-05
"LRIG2";6,20115551078276e-06;3,65348642834726e-06;5,46378305823308e-06
"AP4B1";2,89401364745302e-06;1,71269056582638e-06;3,31250725076686e-06
"HIPK1";2,64510532656148e-05;2,55637329964622e-05;1,12049288116453e-05
"SYT6";3,5169881314259e-07;2,43562779940797e-07;6,82465073802497e-08
"AMPD1";1,27871330968637e-05;1,50234676897781e-05;6,13021431029802e-06
"TSPAN2";3,2808269327121e-06;4,61341354753538e-06;7,73264428898885e-06
"CD101";2,45730370514763e-07;4,33548804438086e-07;9,84459931277949e-07
"TTF2";6,05612343052053e-06;5,55695037882645e-06;8,95595877578369e-06
"TBX15";4,23321226196106e-07;9,29882457003306e-08;1,98252776099812e-07
"HSD3B1";6,37349177444823e-06;5,70455318054313e-07;1,03812336250698e-06
"ZNF697";1,85903223177841e-08;1,31704161338618e-07;7,91599212005375e-07
"PHGDH";1,4454186924315e-06;2,77457585202609e-06;3,54511111511885e-06
"HMGCS2";4,42553061162587e-09;1,23809140536402e-08;3,23207726919747e-09
"REG4";1,6835418689107e-06;1,38880298499366e-06;6,73649800297088e-07
"PDE4DIP";1,34255121242433e-12;1,19236084795693e-10;1,19383325226539e-12
"ITGA10";2,94538683153711e-08;1,43187833995012e-07;1,46662427802561e-06
"ANKRD35";2,75466303725446e-05;3,24242570985837e-05;3,03143038318381e-05
"PIAS3";2,4822691596087e-05;3,19879694081056e-05;2,78804452975603e-05
"NUDT17";1,56475496260412e-05;1,69181974260514e-05;9,54380158312454e-06
"PRKAB2";3,17115089051926e-05;2,73980566063385e-05;1,9312877343584e-05
"GJA5";2,04733304249562e-05;2,44944030960585e-05;1,50140651980246e-05
"CA14";1,67389817376652e-06;1,58669250032747e-07;7,58511927991817e-08
